code;name;dimension;disc price;price;
PND1729;"LİZ SARKIT/PENDANT
";60 CM ;8100;11340;2.700,00 TL;
PND1729-B;"LİZ SARKIT/PENDANT
";80 CM ;13500;18900;4.500,00 TL;
PND1699-A;SHADOW SARKIT /PENDANT;16X48 CM ;5700;7980;1.900,00 TL;3 ADET 
PND1699-B;SHADOW SARKIT /PENDANT;18X48 CM ;6450;9030;2.150,00 TL;3 ADET 
PND1699-C;SHADOW SARKIT /PENDANT;18X70 CM ;6750;9450;2.250,00 TL;3 ADET 
PND1717;FLOS CAM SARKIT ;;12450;17430;4.150,00 TL;
PND1717;FLOS LAMBADER ;28*128 CM ;34050;47670;11.350,00 TL;
PND1692;DEW SARKIT/PENDANT;300x5 cm;11250;15750;4.500,00 TL;
PND1692;DEW SARKIT/PENDANT;300x3005 cm;22500;31500;9.000,00 TL;
PND1698;GALAKSY SARKIT/PENDANT;200x10 cm;16500;23100;8.500,00 TL;
PND1698;GALAKSY SARKIT/PENDANT;60X19X4 CM ;12500;17500;6.000,00 TL;
PND1698;GALAKSY 1 L SARKIT/PENDANT;"45 CM 
2 TOP 10 CM 
1 TOP 15 CM";4000;5600;2.000,00 TL;
PND1706;CLOUD SARKIT / PENDANT;"Q:45 cm
Led 3 Renk";6000;8400;3.000,00 TL;
PND1693;RANDOM SARKIT/PENDANT;28 Q;3750;5250;1.250,00 TL;
PND1693-F;RANDOM LAMBADER/FLOOR LAMP;165X40 CM;19500;27300;;
PND1694;87 SARKIT/PENDANT;"H:80
Q:30 ";7500;10500;2.500,00 TL;TOPLAM 10 ADET STOK 
PND1694;87 SARKIT/PENDANT;"H:80
Q:30  X3";22500;31500;7.500,00 TL;
PND1695;ORIJIN DERİ SARKIT/PENDANT;"H:115 CM 
Q: 15 CM ";4500;6300;1.500,00 TL;"KAHVE KEMER 	10
SİYAH KEMER 	20
BEYAZ KEMER 	5"
PND1696;OCHRE SARKIT/PENDANT;20 Q;4500;6300;1.500,00 TL;20 ADET STOK 
PND1697;MİRA AVİZE/CHANDELIER;80X50 CM  ;18000;25200;;
PND1697;MİRA AVİZE/CHANDELIER;60 Q;16250;22750;6.500,00 TL;
PND1697;MİRA AVİZE/CHANDELIER;80 Q;35000;49000;17.500,00 TL;
PND1697;MİRA AVİZE/CHANDELIER;100 CM;24000;33600;9.300,00 TL;
PND1698;MİRA LİNER FORM AVİZE/CHANDELIER;150 CM ;30400;42560;15.200,00 TL;
PND1247;VIBIA COSMOC SARKIT/PENDANT;60X 120 CM ;13500;18900;4.750,00 TL;
PND1247;VIBIA COSMOC SARKIT/PENDANT;16 Q;3200;4480;690,00 TL;
PND1247;VIBIA COSMOC SARKIT/PENDANT;22 Q;3900;5460;825,00 TL;
PND1746;KOSMİ APLİK ;40 Q;3250;4550;;
PND1747;PARED APLİK ;30X50X10 CM ;2800;3920;;
PND1748;"LAMPARA APLİK 
";35X35X11 CM ;3300;4620;;
PND1749;MODO APLİK;18X80 CM;1200;1680;;
PND1750;SİDE APLİK;35X35X30;2700;3780;;
PND1751;NEGLO APLİK;25X20 30 CM ;1800;2520;;
PND1752-1;FUT APLİK;50X15X18 CM ;1400;1960;;
PND1752-2;FUT APLİK;25X15X25  CM;1400;1960;;
PND1753;MERCUR APLİK ;40X15X28 CM ;3300;4620;;
PND1271;MESHMATIC SARKIT/PENDANT;40 Q;9000;12600;3.000,00 TL;
PND1272;MESHMATIC SARKIT/PENDANT;60 Q;15300;21420;5.100,00 TL;
PND1273;MESHMATIC SARKIT/PENDANT;90 Q;36750;51450;12.250,00 TL;
PND1647;SPOKES SARKIT/PENDANT;38X38 CM ;6300;9000;2.100,00 TL;
PND1647;SPOKES SARKIT/PENDANT;32X72 CM ;6600;9500;2.200,00 TL;
PND1647;SPOKES SARKIT/PENDANT;52 X 52 CM;7200;12000;2.400,00 TL;eskitme 6 adet stok 
PND1647;SPOKES SARKIT/PENDANT;70X73 CM;9600;15000;3.200,00 TL;
"
PND1737-A";"RENOVA SARKIT 
";D:18  CM ;2625;3675;1.050,00 TL;
PND1737-B;"RENOVA SARKIT 
";20 Q;2625;3675;1.050,00 TL;
"
PND1737-C
";"RENOVA SARKIT 
";30 Q ;3500;4900;1.400,00 TL;
"
PND1737-D
";"RENOVA SARKIT 
";30 Q ;2625;3675;1.050,00 TL;
PND173O-A;BUĞU SARKIT /PENDANT;D:32,5X42 CM ;4800;6720;2.400,00 TL;
PND1730-B;BUĞU SARKIT /PENDANT;D:325 X 55 CM ;4800;6720;2.400,00 TL;
PND1730-C;BUĞU SARKIT /PENDANT;D:32,5X60 CM ;5000;7000;2.500,00 TL;
PND1738-A;DEK ABAJUR ;M 33 CM;6250;8750;2.500,00 TL;
PND1738-B;DEK ABAJUR ;33 CM;6250;8750;2.500,00 TL;
PND1739;OKTAVYA ABAJUR;26X40 CM ;0;0;;
PND1328;COFFEI SARKIT ;33 CM ;4125;5775;1.650,00 TL;
PND1328;COFFEI SARKIT ;33 CM ;4125;5775;1.650,00 TL;
PND1328;COFFEI ABAJUR ;23 CM ;4250;5950;1.700,00 TL;
PND1328;COFFEI LAMBADER;33X145 CM ;8625;12075;3.450,00 TL;
PND1743;ŞAPKA LAMBADER;140X40X40 CM ;9500;13300;;
PND1744;ŞAPKA KONİ LAMBADER;140X40X40 CM ;8500;11900;;
PND1745;MODO LAMBADER 2L ;155X18X40 CM ;8750;12250;;
PND1731;SPOT LAMBADER /FLOOR LAMP ;160X40 CM ;8400;11760;4.200,00 TL;2 ADET 
PND1742;SEHPA LAMBADER ;133 X 40 CM ;12500;17500;;
PND1742;SEHPA LAMBADER 2;155X30X35 CM ;12500;17500;;
PND1741;CHIL SARKIT ;28 CM ;4500;6300;2.250,00 TL;
PND1740-A;GRAND SARKIT;23 X 13 CM;2700;3780;1.350,00 TL;
PND1740-B;GRAND SARKIT;16 X 17 CM;3000;4200;1.500,00 TL;
PND1740-C;GRAND SARKIT;28 X 10 CM ;3600;5040;1.800,00 TL;2ADET 
PND1732;SPOT LAMBADER 2 /FLOOR LAMP ;160X32 CM ;5200;7280;2.600,00 TL;2 ADET 
"
PND1393-W   ";OBLUX APLİK/ WALL;"
Q :30 
H: 59 Cm 
ALT :8,5 
ORTA: 9 CM ";5800;8120;;
PND1648;VERONA SARKIT/PENDANT;20x20 CM ;5500;7500;1.820,00 TL;
PND1648;VERONA APLİK/WALL;20 Q;5500;6000;1.800,00 TL;
PND1648;VERONA 2L SARKIT/PENDANT;20 X35 CM ;8500;10000;2.400,00 TL;
PND1649;ONYX SARKIT/PENDANT;30 Q;3900;5460;1.900,00 TL;
PND1649;ONYX SARKIT/PENDANT;25 Q;3800;5320;1.500,00 TL;
PND1649;ONYX SARKIT/PENDANT;30 Q;4200;5880;1.900,00 TL;
PND1649;ONYX SARKIT/PENDANT;"ROZANS 30 Q
MERMER
2 ADET 25 Q
1 ADET 30 Q";13800;19320;5.400,00 TL;
PND1649;ONYX SARKIT/PENDANT;"ROZANS 40 Q
MERMER
4 ADET 25 Q
3 ADET 30 Q";39500;55300;11.700,00 TL;
PND1702;FOX MARBLE  SARKIT/PENDANT;"ROZANS 60 Q
MERMER
9L 
 H 160cm";39000;46800;19.500,00 TL;
PND1703;"ROT MARBLE
SARKIT/PENDANT";"ROZANS 90X37 CM 
MERMER
7L 
 H 160cm";33000;39600;16.500,00 TL;
PND1704;"TOR MARBLE
SARKIT/PENDANT";"ROZANS 80X30 
MERMER
7L 
 H 160cm
Mermer çap 8 cm ";38000;45600;19.000,00 TL;
